,REF_DATE,GEO,DGUID,National Occupational Classification (NOC),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,2012,Canada,2016A000011124,All occupations,"Average employment income, both sexes",2018 constant dollars,400,units,0,v1063746920,1.1.1,45000.0,A,,,0
1,2012,Canada,2016A000011124,All occupations,"Average employment income, females",2018 constant dollars,400,units,0,v1063746921,1.1.2,36000.0,A,,,0
2,2012,Canada,2016A000011124,All occupations,"Average employment income, males",2018 constant dollars,400,units,0,v1063746922,1.1.3,53200.0,A,,,0
3,2012,Canada,2016A000011124,All occupations,Average gender pay ratio in annual employment income,Number,223,units,0,v1063746923,1.1.4,0.68,A,,,2
4,2012,Canada,2016A000011124,All occupations,"Median employment income, both sexes",2018 constant dollars,400,units,0,v1063746924,1.1.5,34000.0,A,,,0
5,2012,Canada,2016A000011124,All occupations,"Median employment income, females",2018 constant dollars,400,units,0,v1063746925,1.1.6,27500.0,A,,,0
6,2012,Canada,2016A000011124,All occupations,"Median employment income, males",2018 constant dollars,400,units,0,v1063746926,1.1.7,42000.0,A,,,0
7,2012,Canada,2016A000011124,All occupations,Median gender pay ratio in annual employment income,Number,223,units,0,v1063746927,1.1.8,0.66,A,,,2
8,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746928,1.1.9,46300.0,A,,,0
9,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, females",2018 constant dollars,400,units,0,v1063746929,1.1.10,36800.0,A,,,0
10,2012,Canada,2016A000011124,All occupations,"Average wages, salaries and commissions, males",2018 constant dollars,400,units,0,v1063746930,1.1.11,55200.0,A,,,0
11,2012,Canada,2016A000011124,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",Number,223,units,0,v1063746931,1.1.12,0.67,A,,,2
12,2012,Canada,2016A000011124,All occupations,"Median wages, salaries and commissions, both sexes",2018 constant dollars,400,units,0,v1063746932,1.1.13,36000.0,A,,,0
