Car,Horsepower,Cylinders
Chrysler Lebaron Town @ Country (sw),150.0,8
AMC Ambassador SST,150.0,8
Plymouth Fury iii,150.0,8
AMC Matador (sw),150.0,8
Plymouth Satellite Custom (sw),150.0,8
AMC Matador,150.0,8
Dodge Coronet Custom,150.0,8
Chevrolet Caprice Classic,150.0,8
Plymouth Fury Gran Sedan,150.0,8
Chevrolet Impala,150.0,8
Dodge Dart Custom,150.0,8
Chevrolet Monte Carlo,150.0,8
Dodge Coronet Custom (sw),150.0,8
Plymouth Satellite,150.0,8
AMC Rebel SST,150.0,8
Dodge D100,150.0,8
Buick Century Luxus (sw),150.0,8
Dodge Coronet Brougham,150.0,8
Plymouth Volare Premier v8,150.0,8
AMC Matador (sw),150.0,8
Plymouth Grand Fury,150.0,8
Plymouth Fury III,150.0,8
Ford Gran Torino,152.0,8
Ford Galaxie 500,153.0,8
Ford Galaxie 500,153.0,8
Ford Torino (sw),153.0,8
Buick Estate Wagon (sw),155.0,8
Buick LeSabre Custom,155.0,8
Ford LTD,158.0,8
Oldsmobile Delta 88 Royale,160.0,8
Plymouth 'Cuda 340,160.0,8
Chevrolet Impala,165.0,8
Chevrolet Chevelle Concours (sw),165.0,8
Chevrolet Impala,165.0,8
Buick Skylark 320,165.0,8
Ford Country,167.0,8
Plymouth Custom Suburb,170.0,8
Dodge Challenger SE,170.0,8
Chevrolet Monte Carlo Landau,170.0,8
Pontiac Catalina,170.0,8
Ford Country Squire (sw),170.0,8
Buick Century 350,175.0,8
Pontiac Safari (sw),175.0,8
Plymouth Satellite (sw),175.0,8
AMC Ambassador Brougham,175.0,8
AMC Rebel SST (sw),175.0,8
Pontiac Catalina,175.0,8
Pontiac Catalina Brougham,175.0,8
Pontiac Grand Prix LJ,180.0,8
Cadillac Seville,180.0,8
Oldsmobile Vista Cruiser,180.0,8
Dodge Monaco (sw),180.0,8
Oldsmobile Omega,180.0,8
AMC Ambassador DPL,190.0,8
Chrysler Cordoba,190.0,8
Chrysler Newport Royal,190.0,8
Hi 1200D,193.0,8
Ford Galaxie 500,198.0,8
Mercury Marquis Brougham,198.0,8
Chevy C20,200.0,8
Mercury Marquis,208.0,8
Dodge D200,210.0,8
Chrysler New Yorker Brougham,215.0,8
Ford F250,215.0,8
Plymouth Fury iii,215.0,8
Chevrolet Impala,220.0,8
Buick Electra 225 Custom,225.0,8
Buick Estate Wagon (sw),225.0,8
Pontiac Catalina,225.0,8
Pontiac Grand Prix,230.0,8
