,REF_DATE,GEO,National Occupational Classification (NOC),Statistics,VALUE
0,2012,Canada,All occupations,"Average employment income, both sexes",45000.0
1,2012,Canada,All occupations,"Average employment income, females",36000.0
2,2012,Canada,All occupations,"Average employment income, males",53200.0
3,2012,Canada,All occupations,Average gender pay ratio in annual employment income,0.68
4,2012,Canada,All occupations,"Median employment income, both sexes",34000.0
5,2012,Canada,All occupations,"Median employment income, females",27500.0
6,2012,Canada,All occupations,"Median employment income, males",42000.0
7,2012,Canada,All occupations,Median gender pay ratio in annual employment income,0.66
8,2012,Canada,All occupations,"Average wages, salaries and commissions, both sexes",46300.0
9,2012,Canada,All occupations,"Average wages, salaries and commissions, females",36800.0
10,2012,Canada,All occupations,"Average wages, salaries and commissions, males",55200.0
11,2012,Canada,All occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.67
12,2012,Canada,All occupations,"Median wages, salaries and commissions, both sexes",36000.0
13,2012,Canada,All occupations,"Median wages, salaries and commissions, females",28800.0
14,2012,Canada,All occupations,"Median wages, salaries and commissions, males",44900.0
15,2012,Canada,All occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.64
16,2012,Canada,Management occupations,"Average employment income, both sexes",81800.0
17,2012,Canada,Management occupations,"Average employment income, females",67000.0
18,2012,Canada,Management occupations,"Average employment income, males",89700.0
19,2012,Canada,Management occupations,Average gender pay ratio in annual employment income,0.75
20,2012,Canada,Management occupations,"Median employment income, both sexes",60300.0
21,2012,Canada,Management occupations,"Median employment income, females",52300.0
22,2012,Canada,Management occupations,"Median employment income, males",65300.0
23,2012,Canada,Management occupations,Median gender pay ratio in annual employment income,0.8
24,2012,Canada,Management occupations,"Average wages, salaries and commissions, both sexes",94000.0
25,2012,Canada,Management occupations,"Average wages, salaries and commissions, females",74300.0
26,2012,Canada,Management occupations,"Average wages, salaries and commissions, males",105400.0
27,2012,Canada,Management occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.71
28,2012,Canada,Management occupations,"Median wages, salaries and commissions, both sexes",74200.0
29,2012,Canada,Management occupations,"Median wages, salaries and commissions, females",60600.0
30,2012,Canada,Management occupations,"Median wages, salaries and commissions, males",82100.0
31,2012,Canada,Management occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.74
32,2012,Canada,"Business, finance and administration occupations","Average employment income, both sexes",49100.0
33,2012,Canada,"Business, finance and administration occupations","Average employment income, females",42900.0
34,2012,Canada,"Business, finance and administration occupations","Average employment income, males",63500.0
35,2012,Canada,"Business, finance and administration occupations",Average gender pay ratio in annual employment income,0.68
36,2012,Canada,"Business, finance and administration occupations","Median employment income, both sexes",42600.0
37,2012,Canada,"Business, finance and administration occupations","Median employment income, females",40000.0
38,2012,Canada,"Business, finance and administration occupations","Median employment income, males",50900.0
39,2012,Canada,"Business, finance and administration occupations",Median gender pay ratio in annual employment income,0.79
40,2012,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, both sexes",49200.0
41,2012,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, females",43200.0
42,2012,Canada,"Business, finance and administration occupations","Average wages, salaries and commissions, males",63600.0
43,2012,Canada,"Business, finance and administration occupations","Average gender pay ratio in annual wages, salaries and commissions",0.68
44,2012,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, both sexes",43100.0
45,2012,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, females",40400.0
46,2012,Canada,"Business, finance and administration occupations","Median wages, salaries and commissions, males",51800.0
47,2012,Canada,"Business, finance and administration occupations","Median gender pay ratio in annual wages, salaries and commissions",0.78
48,2012,Canada,Natural and applied sciences and related occupations,"Average employment income, both sexes",70900.0
49,2012,Canada,Natural and applied sciences and related occupations,"Average employment income, females",58800.0
50,2012,Canada,Natural and applied sciences and related occupations,"Average employment income, males",74400.0
51,2012,Canada,Natural and applied sciences and related occupations,Average gender pay ratio in annual employment income,0.79
52,2012,Canada,Natural and applied sciences and related occupations,"Median employment income, both sexes",65800.0
53,2012,Canada,Natural and applied sciences and related occupations,"Median employment income, females",54000.0
54,2012,Canada,Natural and applied sciences and related occupations,"Median employment income, males",68400.0
55,2012,Canada,Natural and applied sciences and related occupations,Median gender pay ratio in annual employment income,0.79
56,2012,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, both sexes",72400.0
57,2012,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, females",59700.0
58,2012,Canada,Natural and applied sciences and related occupations,"Average wages, salaries and commissions, males",76000.0
59,2012,Canada,Natural and applied sciences and related occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.79
60,2012,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, both sexes",66200.0
61,2012,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, females",54500.0
62,2012,Canada,Natural and applied sciences and related occupations,"Median wages, salaries and commissions, males",70200.0
63,2012,Canada,Natural and applied sciences and related occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.78
64,2012,Canada,Health occupations,"Average employment income, both sexes",58300.0
65,2012,Canada,Health occupations,"Average employment income, females",51400.0
66,2012,Canada,Health occupations,"Average employment income, males",90400.0
67,2012,Canada,Health occupations,Average gender pay ratio in annual employment income,0.57
68,2012,Canada,Health occupations,"Median employment income, both sexes",47900.0
69,2012,Canada,Health occupations,"Median employment income, females",45100.0
70,2012,Canada,Health occupations,"Median employment income, males",67400.0
71,2012,Canada,Health occupations,Median gender pay ratio in annual employment income,0.67
72,2012,Canada,Health occupations,"Average wages, salaries and commissions, both sexes",53300.0
73,2012,Canada,Health occupations,"Average wages, salaries and commissions, females",49200.0
74,2012,Canada,Health occupations,"Average wages, salaries and commissions, males",74400.0
75,2012,Canada,Health occupations,"Average gender pay ratio in annual wages, salaries and commissions",0.66
76,2012,Canada,Health occupations,"Median wages, salaries and commissions, both sexes",47200.0
77,2012,Canada,Health occupations,"Median wages, salaries and commissions, females",45100.0
78,2012,Canada,Health occupations,"Median wages, salaries and commissions, males",63700.0
79,2012,Canada,Health occupations,"Median gender pay ratio in annual wages, salaries and commissions",0.71
80,2012,Canada,"Occupations in education, law and social, community and government services","Average employment income, both sexes",52100.0
81,2012,Canada,"Occupations in education, law and social, community and government services","Average employment income, females",44100.0
82,2012,Canada,"Occupations in education, law and social, community and government services","Average employment income, males",69900.0
83,2012,Canada,"Occupations in education, law and social, community and government services",Average gender pay ratio in annual employment income,0.63
84,2012,Canada,"Occupations in education, law and social, community and government services","Median employment income, both sexes",41600.0
85,2012,Canada,"Occupations in education, law and social, community and government services","Median employment income, females",35900.0
86,2012,Canada,"Occupations in education, law and social, community and government services","Median employment income, males",66400.0
87,2012,Canada,"Occupations in education, law and social, community and government services",Median gender pay ratio in annual employment income,0.54
88,2012,Canada,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, both sexes",52800.0
89,2012,Canada,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, females",45000.0
90,2012,Canada,"Occupations in education, law and social, community and government services","Average wages, salaries and commissions, males",69700.0
91,2012,Canada,"Occupations in education, law and social, community and government services","Average gender pay ratio in annual wages, salaries and commissions",0.65
92,2012,Canada,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, both sexes",43600.0
93,2012,Canada,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, females",37300.0
94,2012,Canada,"Occupations in education, law and social, community and government services","Median wages, salaries and commissions, males",68700.0
