,Essence,Epicerie,Pharmacie,resto
Jan,238.03,588.48,118.0,476.67
Fev,184.48000000000002,649.66,91.77,409.09999999999997
Mar,143.66,543.8600000000001,63.78,591.1
Avr,280.2,637.94,157.36,796.3
Mai,212.84,586.0299999999999,83.06,690.5799999999999
Jun,198.11999999999998,534.97,58.33,531.25
Jul,335.96000000000004,879.8999999999999,125.12,548.51
Aou,152.68,514.6999999999999,182.75,589.38
Sep,351.34,662.87,49.510000000000005,574.1299999999999
Oct,258.1,613.06,124.02,557.2499999999999
Nov,335.02,486.58000000000004,119.28,463.00000000000006
Dec,202.22,565.7800000000001,88.69999999999999,405.57
